Prefix	DIV	BioProject	BioSample	Organism	# of Contigs	Total length of Contigs, b	Has annotated Contigs	# of Scaffolds	Scaffolds range	Has annotated Scaffolds	# of Proteins	Genome range	Update date	Create date	Status
JXLV01	BCT	PRJNA272626	SAMN03284613	XANTHOMONAS AXONOPODIS PV. PHASEOLI	192	5045604	yes	0		no	4048		2015-02-23 00:00:00	2015-01-23 00:00:00	1
JXMG01	BCT	PRJNA272685	SAMN03284980	HAEMOPHILUS INFLUENZAE	109	1979464	yes	0		no	1841		2015-02-09 00:00:00	2015-02-09 00:00:00	1
JWZN01	BCT	PRJNA266657	SAMN03177626	ESCHERICHIA COLI	394	5123663	yes	0		no	5011		2015-01-16 00:00:00	2015-01-16 00:00:00	1
JXBG01	BCT	PRJNA271512	SAMN03274764	STAPHYLOCOCCUS SAPROPHYTICUS	44	2708421	yes	0		no	2512		2015-01-26 00:00:00	2015-01-26 00:00:00	1
JXBJ01	BCT	PRJNA271552	SAMN03274905	VIBRIO ICHTHYOENTERI	80	4599504	yes	0		no	4040		2015-01-08 00:00:00	2015-01-08 00:00:00	1
JXBQ01	BCT	PRJNA264745	SAMN03275180	PEPTOCLOSTRIDIUM DIFFICILE	78	4539549	no	0		no	0		2015-01-26 00:00:00	2015-01-26 00:00:00	1
JXBT01	BCT	PRJNA271049	SAMN03272540	CLOSTRIDIUM BUTYRICUM	2	4604758	yes	0		no	4213		2015-02-19 00:00:00	2015-02-19 00:00:00	1
JXCL01	BCT	PRJNA270572	SAMN03267269	BACILLUS PUMILUS	46	3887138	yes	0		no	4098		2015-01-26 00:00:00	2015-01-26 00:00:00	1
JXHM01	BCT	PRJNA266797	SAMN03174420	BACILLUS SUBTILIS	135	4199624	yes	0		no	4323		2015-02-02 00:00:00	2015-02-02 00:00:00	1
JXHN01	BCT	PRJNA266797	SAMN03174421	BACILLUS SUBTILIS	74	4128206	yes	0		no	4222		2015-02-02 00:00:00	2015-02-02 00:00:00	1
JXIN01	BCT	PRJNA272352	SAMN03280973	VIBRIO ALGINOLYTICUS	105	5190632	yes	0		no	4599		2015-02-09 00:00:00	2015-02-09 00:00:00	1
JWYQ02	BCT	PRJNA262565	SAMN03084730	ACINETOBACTER BAUMANNII	158	4052989	yes	0		no	3815		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWYR02	BCT	PRJNA262565	SAMN03084729	ACINETOBACTER BAUMANNII	94	3854583	yes	0		no	3609		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWYZ01	BCT	PRJNA266657	SAMN03177677	ESCHERICHIA COLI	187	4778879	yes	0		no	4642		2015-01-16 00:00:00	2015-01-16 00:00:00	1
JWWE02	BCT	PRJNA262565	SAMN03084798	ACINETOBACTER BAUMANNII	138	4144700	yes	0		no	3972		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWUY02	BCT	PRJNA262565	SAMN03084831	ACINETOBACTER BAUMANNII	103	3897723	yes	0		no	3636		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWVE02	BCT	PRJNA262565	SAMN03084825	ACINETOBACTER BAUMANNII	78	3830132	yes	0		no	3578		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWVF02	BCT	PRJNA262565	SAMN03084824	ACINETOBACTER BAUMANNII	97	4160557	yes	0		no	3941		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWUC02	BCT	PRJNA262565	SAMN03084856	ACINETOBACTER BAUMANNII	60	3954119	yes	0		no	3679		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWUV02	BCT	PRJNA262565	SAMN03084834	ACINETOBACTER BAUMANNII	111	3901193	yes	0		no	3639		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWTI01	BCT	PRJNA270012	SAMN03262510	XANTHOMONAS AXONOPODIS PV. PHASEOLI	228	5187213	yes	0		no	4171		2014-12-26 00:00:00	2014-12-26 00:00:00	1
JWTO02	BCT	PRJNA262565	SAMN03084875	ACINETOBACTER BAUMANNII	143	3872840	yes	0		no	3623		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWTQ02	BCT	PRJNA262565	SAMN03084871	ACINETOBACTER BAUMANNII	147	3966107	yes	0		no	3714		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWTT02	BCT	PRJNA262565	SAMN03084865	ACINETOBACTER BAUMANNII	187	3967910	yes	0		no	3776		2015-03-11 00:00:00	2015-03-11 00:00:00	1
JWQX01	BCT	PRJNA186035	SAMN03079670	SALMONELLA ENTERICA SUBSP. ENTERICA	58	4678091	yes	0		no	4383		2014-12-22 00:00:00	2014-12-22 00:00:00	1
JWRB01	BCT	PRJNA186035	SAMN03079666	SALMONELLA ENTERICA SUBSP. ENTERICA	52	4871585	yes	0		no	4592		2014-12-22 00:00:00	2014-12-22 00:00:00	1
JWRC01	BCT	PRJNA186035	SAMN03079665	SALMONELLA ENTERICA SUBSP. ENTERICA	56	4729736	yes	0		no	4412		2014-12-22 00:00:00	2014-12-22 00:00:00	1
JWRQ01	BCT	PRJNA259658	SAMN03067417	ENTEROBACTER CLOACAE	2	5148076	yes	0		no	4798		2014-12-23 00:00:00	2014-12-23 00:00:00	1
JWSI02	BCT	PRJNA270778	SAMN03268811	ACINETOBACTER BAUMANNII	154	4034166	yes	0		no	3860		2015-02-10 00:00:00	2015-02-10 00:00:00	1
JWQN01	BCT	PRJNA186035	SAMN03079710	SALMONELLA ENTERICA SUBSP. ENTERICA	38	4656996	yes	0		no	4375		2014-12-22 00:00:00	2014-12-22 00:00:00	1
JWKU01	BCT	PRJNA268032	SAMN03217308	ARCHAEON GW2011_AR13	53	943035	yes	0		no	1160		2014-12-19 00:00:00	2014-12-19 00:00:00	1
JWLG01	BCT	PRJNA269051	SAMN03246063	LEISINGERA SP. ANG-M6	54	4542505	yes	0		no	4145		2015-01-02 00:00:00	2015-01-02 00:00:00	1
JWLJ01	BCT	PRJNA269051	SAMN03246066	RUEGERIA SP. ANG-R	41	4684550	yes	0		no	4313		2015-01-02 00:00:00	2015-01-02 00:00:00	1
JWLU01	BCT	PRJNA269560	SAMN03254456	VIBRIO SINALOENSIS	81	4516254	yes	0		no	4004		2014-12-29 00:00:00	2014-12-29 00:00:00	1
JWHY01	BCT	PRJNA270219	SAMN03263895	HALOMONAS SP. KHS3	24	5177335	yes	0		no	4493		2015-01-30 00:00:00	2015-01-30 00:00:00	1
JWIA01	BCT	PRJNA270259	SAMN03265108	MYCOBACTERIUM TUBERCULOSIS	243	4240703	yes	0		no	4010		2015-02-24 00:00:00	2014-12-19 00:00:00	1
JWIB01	BCT	PRJNA269689	SAMN03265391	SPOROSARCINA SP. ZBG7A	78	3534579	no	0		no	0		2015-01-02 00:00:00	2015-01-02 00:00:00	1
JWJN01	BCT	PRJNA270006	SAMN03262492	CHROMOBACTERIUM SUBTSUGAE	95	4674687	no	0		no	0		2014-12-31 00:00:00	2014-12-31 00:00:00	1
JWJW01	BCT	PRJNA270289	SAMN03265419	COMAMONAS TESTOSTERONI	65	5232160	no	0		no	0		2015-01-02 00:00:00	2015-01-02 00:00:00	1
JUJZ01	BCT	PRJNA269669	SAMN03256245	ESCHERICHIA COLI	178	4908048	no	0		no	0		2014-12-18 00:00:00	2014-12-18 00:00:00	1
JUKG01	BCT	PRJNA268442	SAMN03222688	LISTERIA MONOCYTOGENES	15	2946809	no	0		no	0		2015-02-26 00:00:00	2014-12-22 00:00:00	1
JWHA01	BCT	PRJNA269509	SAMN03253432	CANDIDATUS LIBERIBACTER ASIATICUS	3	1227253	yes	0		no	1019		2015-01-20 00:00:00	2015-01-20 00:00:00	1
JWHD01	BCT	PRJNA268946	SAMN03246830	XANTHOMONAS TRANSLUCENS PV. CEREALIS	31	4515938	no	2	CM003052:CM003053	no	0		2015-02-24 00:00:00	2014-12-22 00:00:00	1
JWHG01	BCT	PRJNA264516	SAMN03152360	LISTERIA MONOCYTOGENES	70	3009749	yes	0		no	2938		2015-01-05 00:00:00	2015-01-05 00:00:00	1
JWHJ01	BCT	PRJNA264516	SAMN03152387	LISTERIA MONOCYTOGENES	52	3112163	yes	0		no	3071		2015-01-05 00:00:00	2015-01-05 00:00:00	1
JUHZ01	BCT	PRJNA259658	SAMN03012837	ENTEROBACTER AEROGENES	202	5661857	yes	0		no	5255		2014-12-16 00:00:00	2014-12-16 00:00:00	1
JUJE01	BCT	PRJNA269216	SAMN03252598	PECTOBACTERIUM CAROTOVORUM SUBSP. BRASILIENSE	15	4816280	yes	0		no	4046		2014-12-29 00:00:00	2014-12-29 00:00:00	1
JUJK01	BCT	PRJNA269227	SAMN03252606	PECTOBACTERIUM CAROTOVORUM SUBSP. BRASILIENSE	27	4815476	yes	0		no	4102		2014-12-29 00:00:00	2014-12-29 00:00:00	1
JUJL01	BCT	PRJNA269228	SAMN03252607	PECTOBACTERIUM CAROTOVORUM SUBSP. BRASILIENSE	14	4826010	yes	0		no	4067		2014-12-29 00:00:00	2014-12-29 00:00:00	1
JUGZ01	BCT	PRJNA247582	SAMN02787116	METHYLIBIUM SP. CF468	77	6851092	no	4	KN549108:KN549111	no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUHB01	BCT	PRJNA251768	SAMN02841239	CELLULOPHAGA SP. HEL_I_12	1	4031126	no	0		no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUHK01	BCT	PRJNA247549	SAMN02787130	RHIZOBIUM TROPICI	30	7141551	no	0		no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUHN01	BCT	PRJNA247543	SAMN02787067	RHIZOBIUM SP. CF048	50	6824278	no	1	KN549137:KN549137	no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUHW01	BCT	PRJNA259658	SAMN03012830	ENTEROBACTER CLOACAE	76	4975568	yes	0		no	4660		2014-12-16 00:00:00	2014-12-16 00:00:00	1
JUFG01	BCT	PRJNA267144	SAMN03177481	MYCOBACTERIUM TUBERCULOSIS	119	4364860	no	0		no	0		2014-12-18 00:00:00	2014-12-18 00:00:00	1
JUFT01	BCT	PRJNA267159	SAMN03177495	MYCOBACTERIUM TUBERCULOSIS	112	4362883	no	0		no	0		2014-12-18 00:00:00	2014-12-18 00:00:00	1
JUFU01	BCT	PRJNA267160	SAMN03177496	MYCOBACTERIUM TUBERCULOSIS	104	4396294	no	0		no	0		2014-12-18 00:00:00	2014-12-18 00:00:00	1
JUGH01	BCT	PRJNA247592	SAMN02787124	ENTEROBACTER ASBURIAE	15	4624544	no	1	KN549084:KN549084	no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUGI01	BCT	PRJNA247534	SAMN02787095	CHRYSEOBACTERIUM SP. YR459	21	4968916	no	1	KN549085:KN549085	no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUGN01	BCT	PRJNA247538	SAMN02787114	CHRYSEOBACTERIUM SP. YR480	19	4976121	no	1	KN549098:KN549098	no	0		2014-12-09 00:00:00	2014-12-09 00:00:00	1
JUCV01	BCT	PRJNA266657	SAMN03177647	ESCHERICHIA COLI	214	5169805	yes	0		no	5082		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUDK01	BCT	PRJNA266657	SAMN03177624	ESCHERICHIA COLI	83	4976592	yes	0		no	4781		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUDQ01	PLN	PRJNA261653	SAMN03075116	SCEDOSPORIUM AURANTIACUM	1584	39890731	no	0		no	0		2015-02-24 00:00:00	2014-12-31 00:00:00	1
JSZY01	BCT	PRJNA264742	SAMN03165123	BACILLUS ANTHRACIS	53	5447483	yes	0		no	5542		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JTAA01	BCT	PRJNA264742	SAMN03165125	BACILLUS ANTHRACIS	56	5431934	yes	0		no	5522		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JTAC01	BCT	PRJNA264742	SAMN03165127	BACILLUS ANTHRACIS	90	5296787	yes	0		no	5353		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JTAR01	BCT	PRJNA264742	SAMN03165113	BACILLUS ANTHRACIS	51	5445547	yes	0		no	5539		2014-11-14 00:00:00	2014-11-14 00:00:00	1
JUBT01	BCT	PRJNA266657	SAMN03177686	ESCHERICHIA COLI	197	5008568	yes	0		no	4840		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUBX01	BCT	PRJNA266657	SAMN03177681	ESCHERICHIA COLI	255	4975296	yes	0		no	4870		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUCA01	BCT	PRJNA266657	SAMN03177675	ESCHERICHIA COLI	80	4920814	yes	0		no	4745		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUCO01	BCT	PRJNA266657	SAMN03177660	ESCHERICHIA COLI	141	4748987	yes	0		no	4595		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUCP01	BCT	PRJNA266657	SAMN03177659	ESCHERICHIA COLI	154	5080401	yes	0		no	4961		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JUCR01	BCT	PRJNA266657	SAMN03177656	ESCHERICHIA COLI	142	4948525	yes	0		no	4734		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JTZX01	BCT	PRJNA264310	SAMN03105408	PSEUDOMONAS AERUGINOSA	85	6360200	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JUAC01	BCT	PRJNA264310	SAMN03105403	PSEUDOMONAS AERUGINOSA	103	6445104	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JUAK01	BCT	PRJNA264310	SAMN03105395	PSEUDOMONAS AERUGINOSA	121	6168922	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JUBA01	PLN	PRJNA263654	SAMN03104849	TREBOUXIA GELATINOSA	1047	60898934	no	0	KN805262:KN805369	no	0		2015-01-16 00:00:00	2015-01-15 00:00:00	1
JUBS01	BCT	PRJNA266657	SAMN03177687	ESCHERICHIA COLI	135	5281989	yes	0		no	5157		2014-12-07 00:00:00	2014-12-07 00:00:00	1
JTXU01	BCT	PRJNA264310	SAMN03105463	PSEUDOMONAS AERUGINOSA	82	6772788	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTYI01	BCT	PRJNA264310	SAMN03105449	PSEUDOMONAS AERUGINOSA	103	6810460	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTYV01	BCT	PRJNA264310	SAMN03105436	PSEUDOMONAS AERUGINOSA	113	6791911	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTYX01	BCT	PRJNA264310	SAMN03105434	PSEUDOMONAS AERUGINOSA	51	6337010	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTZC01	BCT	PRJNA264310	SAMN03105429	PSEUDOMONAS AERUGINOSA	112	6855952	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTTN01	BCT	PRJNA264310	SAMN03105574	PSEUDOMONAS AERUGINOSA	110	6980738	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTTQ01	BCT	PRJNA264310	SAMN03105571	PSEUDOMONAS AERUGINOSA	140	7250921	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTTZ01	BCT	PRJNA264310	SAMN03105562	PSEUDOMONAS AERUGINOSA	210	7070053	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTUU01	BCT	PRJNA264310	SAMN03105541	PSEUDOMONAS AERUGINOSA	76	7049244	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTVD01	BCT	PRJNA264310	SAMN03105532	PSEUDOMONAS AERUGINOSA	149	7184792	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTVR01	BCT	PRJNA264310	SAMN03105518	PSEUDOMONAS AERUGINOSA	50	6295916	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTVZ01	BCT	PRJNA264310	SAMN03105510	PSEUDOMONAS AERUGINOSA	67	6210274	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTWA01	BCT	PRJNA264310	SAMN03105509	PSEUDOMONAS AERUGINOSA	196	6793558	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTQW01	BCT	PRJNA264310	SAMN03105643	PSEUDOMONAS AERUGINOSA	73	6866953	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTRI01	BCT	PRJNA264310	SAMN03105631	PSEUDOMONAS AERUGINOSA	105	7092428	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTRL01	BCT	PRJNA264310	SAMN03105628	PSEUDOMONAS AERUGINOSA	136	6302622	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTRR01	BCT	PRJNA264310	SAMN03105622	PSEUDOMONAS AERUGINOSA	119	7042302	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTRY01	BCT	PRJNA264310	SAMN03105615	PSEUDOMONAS AERUGINOSA	65	6308307	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTSB01	BCT	PRJNA264310	SAMN03105612	PSEUDOMONAS AERUGINOSA	105	6858678	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTSG01	BCT	PRJNA264310	SAMN03105607	PSEUDOMONAS AERUGINOSA	126	7056926	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTSH01	BCT	PRJNA264310	SAMN03105606	PSEUDOMONAS AERUGINOSA	107	6815570	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTSU01	BCT	PRJNA264310	SAMN03105593	PSEUDOMONAS AERUGINOSA	134	7003752	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTTD01	BCT	PRJNA264310	SAMN03105584	PSEUDOMONAS AERUGINOSA	174	6406036	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTOH01	BCT	PRJNA264310	SAMN03105710	PSEUDOMONAS AERUGINOSA	73	6358832	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTOL01	BCT	PRJNA264310	SAMN03105706	PSEUDOMONAS AERUGINOSA	107	6958019	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTOV01	BCT	PRJNA264310	SAMN03105696	PSEUDOMONAS AERUGINOSA	91	6427887	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTOY01	BCT	PRJNA264310	SAMN03105693	PSEUDOMONAS AERUGINOSA	72	6459808	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
JTPH01	BCT	PRJNA264310	SAMN03105684	PSEUDOMONAS AERUGINOSA	121	6855155	no	0		no	0		2014-12-04 00:00:00	2014-12-04 00:00:00	1
